
# verbs
ཡིན།	to be	personal experience (བདག)	Verb	 
ཡོད།	there is/to have	personal experience (བདག)	Verb	 
ཡིན་ས་ཡོད།	uncertainty, to be	personal experience (བདག)	Verb	 
ཡོད་ས་ཡོད།	uncertainty, there is/to have	personal experience (བདག)	Verb	 
རེད།	to be	general situations (གཞན།)	Verb	 
ཡོད་རེད།	there is/to have	general situations (གཞན།)	Verb	 
ཡིན་ས་རེད།	uncertainty, to be	general situations (གཞན།)	Verb	 
ཡིན་བགྱི་རེད།	uncertainty, to be	general situations (གཞན།)	Verb	 
ཡོད་བགྱི་རེད།	uncertainty, there is/to have	general situations (གཞན།)	Verb	 
ཡོད་ས་རེད།	uncertainty, there is/to have	general situations (གཞན།)	Verb	 
འདུག	there is/to have	newly experienced fact (གཞན།)	Verb	 
རེད་འདུག	to be	general situation +  newly personally experienced	Verb	 

# neg_verbs
མིན།	to be	personal experience (བདག)	Verb	negative
མེད།	there is/to have	personal experience (བདག)	Verb	negative
ཡིན་ས་མེད།	uncertainty, to be	personal experience (བདག)	Verb	negative
ཡོད་ས་མེད།	uncertainty, there is/to have	personal experience (བདག)	Verb	negative
མ་རེད།	to be	general situations (གཞན།)	Verb	negative
ཡོད་མ་རེད།	there is/to have	general situations (གཞན།)	Verb	negative
ཡིན་བགྱི་མ་རེད།	uncertainty, to be	general situations (གཞན།)	Verb	negative
ཡིན་ས་མ་རེད།	uncertainty, to be	general situations (གཞན།)	Verb	negative
ཡོད་བགྱི་མ་རེད།	uncertainty, there is/to have	general situations (གཞན།)	Verb	negative
ཡོད་ས་མ་རེད།	uncertainty, there is/to have	general situations (གཞན།)	Verb	negative
མི་འདུག	there is/to have	newly experienced fact (གཞན།)	Verb	negative
རེད་མི་འདུག	to be	general situation +  newly personally experienced	Verb	negative

# past
-ཡིན།	past simple	personal experience (བདག)	Past	 
-པ་ཡིན།	past simple	personal experience (བདག)	Past	 
-ཡོད།*	action fully completed	personal experience (བདག)	Past	 
-མྱོང་།	description of having already experienced something	personal experience (བདག)	Past	 
-མྱོང་ཡོད།	description of having already experienced something	personal experience (བདག)	Past	 
-ཡིན་ས་ཡོད།	uncertainty, past simple	personal experience (བདག)	Past	 
-ཡོད་ས་ཡོད།	uncertainty, action fully completed	personal experience (བདག)	Past	 
-རེད།	past simple	general situations (གཞན།)	Past	 
